Text,Text_ok,Sentiment_Polarity,Sentiments
" A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",playful escapade carnival life carousel laughter cotton candy dreams swirling joyous atmosphere,0.0,Trung lập
" Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. ",floating clouds inspiration artist painting sky strokes creativity creating masterpiece dreams,0.0,Trung lập
" Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. ",navigating river contentment serene boat cruise tranquil waters inner peace acceptance,0.0,Trung lập
" With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care. ",empathy lantern wandering dark alleys sorrow illuminating path compassion care,-0.15,Tiêu cực
" A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities. ",free spirit soaring wings dreams leaving trails independence azure sky boundless possibilities,0.1,Tích cực
" Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart. ",bathed golden hues gratefulness sunset appreciation casting warm glow landscapes heart,0.44999999999999996,Tích cực
" Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace. ",confident strides dance life ballroom selfassuredness leads twirling challenges grace,0.5,Tích cực
" Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities. ",hopeful whispers wind carrying promises brighter tomorrow symphony optimism air possibilities,0.0,Trung lập
" Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. ",playfully juggling responsibilities circus performer balancing acts work joy tossing laughter air,0.8,Tích cực
" Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. ",whispering tales inspiration stars storyteller crafting constellations threads imagination,0.0,Trung lập
" Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored. ",charting course waves hopeful anticipation sailor steering towards shores dreams yet unexplored,0.0,Trung lập
" Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness. ",drowning abyss despair heart shattered fragments lost echoing silence hopelessness,0.0,Trung lập
" Bitterness festering like a venomous vine, entwining the soul in a web of resentment, poisoning the garden of peace. ",bitterness festering like venomous vine entwining soul web resentment poisoning garden peace,0.0,Trung lập
" Wandering through the desert of loneliness, each step a heavy sigh, mirages of connection shimmering but never materializing. ",wandering desert loneliness step heavy sigh mirages connection shimmering never materializing,-0.2,Tiêu cực
" Yearning for a touch that's not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude. ",yearning touch thats echoes distant warmth haunting heart cold embrace solitude,-0.35,Tiêu cực
" Eyes wide open in the night, fearful shadows dancing on the walls, the mind a prisoner of imagined horrors. ",eyes wide open night fearful shadows dancing walls mind prisoner imagined horrors,-0.3333333333333333,Tiêu cực
" Apprehensive steps on the tightrope of uncertainty, a balancing act where the fall seems inevitable, anxiety a constant companion. ",apprehensive steps tightrope uncertainty balancing act fall seems inevitable anxiety constant companion,0.0,Trung lập
" Overwhelmed by the weight of the world, Atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion. ",overwhelmed weight world atlas trembling shoulders responsibility boulder landscape exhaustion,0.0,Trung lập
" Jealousy, a green-eyed monster, lurking in the shadows, casting a dark cloud over the sunshine of others' success. ",jealousy greeneyed monster lurking shadows casting dark cloud sunshine others success,0.075,Trung lập
" Devastated by the storm of betrayal, the wreckage of trust scattered like debris, a heart torn by the winds of broken promises. ",devastated storm betrayal wreckage trust scattered like debris heart torn winds broken promises,-0.4,Tiêu cực
" Frustrated fingers tapping on the keyboard, a symphony of annoyance composing an unsolvable puzzle of unmet expectations. ",frustrated fingers tapping keyboard symphony annoyance composing unsolvable puzzle unmet expectations,-0.7,Tiêu cực
" Envious eyes fixated on the gilded prize, a heartache fueled by the painful desire for possessions that seem forever out of reach. ",envious eyes fixated gilded prize heartache fueled painful desire possessions seem forever reach,-0.7,Tiêu cực
" Dismissive glances, a fortress built with indifference, walls impenetrable to the pleas of understanding and recognition. ",dismissive glances fortress built indifference walls impenetrable pleas understanding recognition,0.0,Trung lập
" Shattered dreams lie on the floor like fragments of glass, a mosaic of disappointment crafted by the hands of frustration. ",shattered dreams lie floor like fragments glass mosaic disappointment crafted hands frustration,-0.6,Tiêu cực
" Loneliness, a silent companion in the night, the only echo in the chamber of solitude, a heart's solitary nocturne. ",loneliness silent companion night echo chamber solitude hearts solitary nocturne,0.0,Trung lập
" Fearful whispers in the dark, the mind haunted by the specter of the unknown, shadows dancing to the rhythm of anxiety's tune. ",fearful whispers dark mind haunted specter unknown shadows dancing rhythm anxietys tune,-0.38333333333333336,Tiêu cực
" Bitterness, a bitter aftertaste lingering on the tongue, each word a reminder of wounds that refuse to heal with the passing of time. ",bitterness bitter aftertaste lingering tongue word reminder wounds refuse heal passing time,-0.1,Tiêu cực
" Overwhelmed by the cacophony of expectations, a drowning soul in the tempest of pressure, struggling to stay afloat. ",overwhelmed cacophony expectations drowning soul tempest pressure struggling stay afloat,0.0,Trung lập
" Jealousy, a venom that seeps through the veins, poisoning the heart and turning it into a breeding ground for discontent. ",jealousy venom seeps veins poisoning heart turning breeding ground discontent,0.0,Trung lập
" Devastated by the revelation of betrayal, the trust shattered like fragile glass, leaving shards of pain in its wake. ",devastated revelation betrayal trust shattered like fragile glass leaving shards pain wake,0.0,Trung lập
" Frustrated attempts to mend a broken connection, the threads of understanding slipping through the fingers like grains of sand. ",frustrated attempts mend broken connection threads understanding slipping fingers like grains sand,-0.4000000000000001,Tiêu cực
" Envious gazes cast upon the podium of success, a bitter pill swallowed, the taste lingering as a constant reminder of unattained heights. ",envious gazes cast upon podium success bitter pill swallowed taste lingering constant reminder unattained heights,0.06666666666666667,Trung lập
" Dismissive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference. ",dismissive gestures curtain drawn shield vulnerability stage emotions take backseat performance indifference,0.0,Trung lập
" Despair like a heavy fog, enveloping every thought, blurring the path ahead, a journey in the labyrinth of utter hopelessness. ",despair like heavy fog enveloping every thought blurring path ahead journey labyrinth utter hopelessness,-0.1,Tiêu cực
" Bitterness, a bitter chill in the air, freezing moments into icicles of resentment that dangle precariously over the landscape of memory. ",bitterness bitter chill air freezing moments icicles resentment dangle precariously landscape memory,-0.1,Tiêu cực
" Loneliness, a solitary moon in a starless sky, casting a cold glow on the landscape of isolation, where echoes bounce in empty spaces. ",loneliness solitary moon starless sky casting cold glow landscape isolation echoes bounce empty spaces,-0.35,Tiêu cực
" Yearning for the warmth of a vanished sun, a heartache painted in the hues of a sunset that never graced the horizon. ",yearning warmth vanished sun heartache painted hues sunset never graced horizon,0.0,Trung lập
" Fearful eyes scanning the shadows, a prisoner of the night, terrorized by the lurking monsters born from the mind's darkest corners. ",fearful eyes scanning shadows prisoner night terrorized lurking monsters born minds darkest corners,-0.9,Tiêu cực
" Apprehensive whispers in the wind, a forecast of uncertainty, the mind's weather vane spinning wildly in the storm of doubt. ",apprehensive whispers wind forecast uncertainty minds weather vane spinning wildly storm doubt,0.1,Tích cực
" Overwhelmed by the maze of expectations, a minotaur of pressure lurking in the labyrinth, waiting to devour the spirit of resilience. ",overwhelmed maze expectations minotaur pressure lurking labyrinth waiting devour spirit resilience,0.0,Trung lập
" Jealousy, a festering wound, the pain intensifying with each glance at the garden of others' achievements, blooming beyond the fence. ",jealousy festering wound pain intensifying glance garden others achievements blooming beyond fence,0.0,Trung lập
" Devastated, a heart in ruins, the echoes of shattered dreams reverberating in the chambers, a requiem for what once was whole. ",devastated heart ruins echoes shattered dreams reverberating chambers requiem whole,0.02500000000000001,Trung lập
" Frustrated attempts to untangle the knot of confusion, the threads of understanding slipping further into the labyrinth of miscommunication. ",frustrated attempts untangle knot confusion threads understanding slipping labyrinth miscommunication,-0.39999999999999997,Tiêu cực
" Envious eyes locked on the treasure chest of opportunities, a heartache fueled by the desire for keys that seem forever elusive. ",envious eyes locked treasure chest opportunities heartache fueled desire keys seem forever elusive,0.0,Trung lập
Awe-struck by the breathtaking sunrise over the mountains.      ,awestruck breathtaking sunrise mountains,1.0,Tích cực
Navigating through the challenges with determination.          ,navigating challenges determination,0.0,Trung lập
Nostalgia hits while flipping through an old photo album.     ,nostalgia hits flipping old photo album,0.1,Tích cực
Thrilled to witness the grandeur of a cultural festival.       ,thrilled witness grandeur cultural festival,0.35,Tích cực
Calmness found in the rhythm of raindrops on the windowpane.   ,calmness found rhythm raindrops windowpane,0.0,Trung lập
Overwhelmed by the support received during a personal challenge.,overwhelmed support received personal challenge,0.0,Trung lập
Excitement builds as the countdown to a long-awaited vacation begins. ,excitement builds countdown longawaited vacation begins,0.0,Trung lập
"Reflecting on life's journey, grateful for the lessons learned. ",reflecting lifes journey grateful lessons learned,0.0,Trung lập
Bittersweet emotions arise while bidding farewell to a dear friend. ,bittersweet emotions arise bidding farewell dear friend,0.0,Trung lập
Curiosity sparked by exploring a mysterious ancient ruin.      ,curiosity sparked exploring mysterious ancient ruin,0.0,Trung lập
Admiration for the intricate details of a handcrafted masterpiece. ,admiration intricate details handcrafted masterpiece,0.0,Trung lập
Overjoyed by the warmth of a cozy fireplace on a winter evening.   ,overjoyed warmth cozy fireplace winter evening,-0.19999999999999998,Tiêu cực
Inspiration strikes while observing the colors of a vibrant sunset.,inspiration strikes observing colors vibrant sunset,0.16666666666666666,Tích cực
Motivated to achieve fitness goals after an invigorating workout.  ,motivated achieve fitness goals invigorating workout,0.0,Trung lập
Gratitude for the simple joys found in a cup of morning coffee.    ,gratitude simple joys found cup morning coffee,0.0,Trung lập
Feeling empowered after conquering a challenging hiking trail.     ,feeling empowered conquering challenging hiking trail,0.5,Tích cực
Amused by the antics of playful kittens during playtime.           ,amused antics playful kittens playtime,0.0,Trung lập
Contemplating life's mysteries under the starry night sky.         ,contemplating lifes mysteries starry night sky,0.0,Trung lập
Joyful reunion with long-lost friends after years of separation.   ,joyful reunion longlost friends years separation,0.0,Trung lập
Excitement builds while preparing for a surprise celebration.     ,excitement builds preparing surprise celebration,0.0,Trung lập
Satisfaction derived from successfully completing a DIY project.  ,satisfaction derived successfully completing diy project,0.75,Tích cực
Feeling blessed for the supportive community in times of need.    ,feeling blessed supportive community times need,0.5,Tích cực
Captivated by the serenity of a tranquil garden in full bloom.     ,captivated serenity tranquil garden full bloom,0.35,Tích cực
Anticipation for an upcoming adventure in an exotic destination.   ,anticipation upcoming adventure exotic destination,0.5,Tích cực
Reflecting on personal growth achieved through life experiences.  ,reflecting personal growth achieved life experiences,0.0,Trung lập
Nostalgic memories flood in while revisiting childhood favorites. ,nostalgic memories flood revisiting childhood favorites,-0.5,Tiêu cực
Appreciation for the vibrant culture experienced during travel.   ,appreciation vibrant culture experienced travel,0.48333333333333334,Tích cực
Confidence soars after overcoming public speaking anxiety.       ,confidence soars overcoming public speaking anxiety,0.0,Trung lập
Contentment in the midst of a family gathering filled with laughter. ,contentment midst family gathering filled laughter,0.4,Tích cực
Enthusiasm for learning new skills and expanding knowledge.      ,enthusiasm learning new skills expanding knowledge,0.13636363636363635,Tích cực
Surprise and delight at discovering a hidden gem in the city.    ,surprise delight discovering hidden gem city,-0.16666666666666666,Tiêu cực
A sense of accomplishment after completing a challenging workout.,sense accomplishment completing challenging workout,0.5,Tích cực
Wonderment at the beauty of a double rainbow after the rain.     ,wonderment beauty double rainbow rain,0.0,Trung lập
Optimism for a bright future amidst challenging times.           ,optimism bright future amidst challenging times,0.4000000000000001,Tích cực
Pride in achieving a personal milestone in career progression.   ,pride achieving personal milestone career progression,0.0,Trung lập
Happiness blooms like flowers in a garden on a sunny day.        ,happiness blooms like flowers garden sunny day,0.7,Tích cực
Elation over discovering a rare book in a quaint bookstore.      ,elation discovering rare book quaint bookstore,0.3,Tích cực
Curiosity piqued by the mysteries of an ancient archaeological site.,curiosity piqued mysteries ancient archaeological site,0.0,Trung lập
Mesmerized by the cosmic dance of fireflies on a moonlit night.    ,mesmerized cosmic dance fireflies moonlit night,0.0,Trung lập
Intrigued by the symphony of colors in an abstract art exhibition. ,intrigued symphony colors abstract art exhibition,0.0,Trung lập
Giggles and joy echo in the air during a children's playdate.      ,giggles joy echo air childrens playdate,0.8,Tích cực
Enveloped in serenity while practicing mindfulness by the lake.    ,enveloped serenity practicing mindfulness lake,0.0,Trung lập
Chasing dreams like a kite soaring high in the vast open sky.      ,chasing dreams like kite soaring high vast open sky,0.05333333333333334,Trung lập
Spellbound by the elegance of a ballroom dance under crystal chandeliers. ,spellbound elegance ballroom dance crystal chandeliers,0.0,Trung lập
Whimsical delight in a world of fairy tales and magical creatures.  ,whimsical delight world fairy tales magical creatures,0.0,Trung lập
Pensive contemplation amid the ancient ruins of a forgotten civilization. ,pensive contemplation amid ancient ruins forgotten civilization,-0.15,Tiêu cực
Embracing the thrill of speed on a rollercoaster's exhilarating twists. ,embracing thrill speed rollercoasters exhilarating twists,0.7,Tích cực
Harmony resonates as musicians play a melody of unity and togetherness. ,harmony resonates musicians play melody unity togetherness,0.0,Trung lập
A burst of creativity in the quiet solitude of an artist's studio.  ,burst creativity quiet solitude artists studio,0.0,Trung lập
Radiant joy akin to blooming flowers on a sun-kissed spring morning. ,radiant joy akin blooming flowers sunkissed spring morning,0.8,Tích cực
A sense of wonder at the vastness of the cosmos on a stargazing night. ,sense wonder vastness cosmos stargazing night,0.0,Trung lập
Rejuvenated by the salty breeze and the sound of waves at the seaside. ,rejuvenated salty breeze sound waves seaside,0.4,Tích cực
Whispers of inspiration from the rustling leaves in a serene forest. ,whispers inspiration rustling leaves serene forest,0.0,Trung lập
Savoring the warmth of a cup of cocoa on a chilly winter evening.   ,savoring warmth cup cocoa chilly winter evening,-0.6,Tiêu cực
Heartfelt gratitude for the laughter shared during a family reunion. ,heartfelt gratitude laughter shared family reunion,0.0,Trung lập
"Embarking on a culinary adventure, savoring exotic flavors around the world. ",embarking culinary adventure savoring exotic flavors around world,0.25,Tích cực
Euphoria floods in as the final puzzle piece clicks into place.       ,euphoria floods final puzzle piece clicks place,0.0,Trung lập
Awe-inspired by the grandeur of an ancient cathedral's intricate architecture. ,aweinspired grandeur ancient cathedrals intricate architecture,0.0,Trung lập
Captivated by the ethereal beauty of a field filled with fireflies. ,captivated ethereal beauty field filled fireflies,0.4,Tích cực
Immersed in the enchanting melodies of a street musician's violin. ,immersed enchanting melodies street musicians violin,0.0,Trung lập
Joyful laughter resonates through a lively summer carnival.         ,joyful laughter resonates lively summer carnival,0.13636363636363635,Tích cực
Exploring the universe within during a mindful meditation session. ,exploring universe within mindful meditation session,0.0,Trung lập
Soaring like a free spirit on the winds of a coastal cliff.        ,soaring like free spirit winds coastal cliff,0.4,Tích cực
Dazzled by the elegance of a masquerade ball's dazzling costumes. ,dazzled elegance masquerade balls dazzling costumes,0.75,Tích cực
Whimsical delight in a world of whimsical fairy tales.             ,whimsical delight world whimsical fairy tales,-0.5,Tiêu cực
Reflective contemplation amid the ruins of a forgotten era.        ,reflective contemplation amid ruins forgotten era,-0.15,Tiêu cực
Riding the adrenaline rush on a rollercoaster's wild twists.      ,riding adrenaline rush rollercoasters wild twists,0.1,Tích cực
Harmony resonates as musicians play a symphony of unity.           ,harmony resonates musicians play symphony unity,0.0,Trung lập
A burst of artistic creativity in the quietude of an artist's studio. ,burst artistic creativity quietude artists studio,0.3333333333333333,Tích cực
Radiant joy akin to blossoming flowers on a sunlit spring morning. ,radiant joy akin blossoming flowers sunlit spring morning,0.8,Tích cực
Awe-inspired by the vastness of the cosmos on a stargazing night.   ,aweinspired vastness cosmos stargazing night,0.0,Trung lập
"Embarking on a culinary odyssey, savoring flavors around the world. ",embarking culinary odyssey savoring flavors around world,0.0,Trung lập
Euphoria floods in as the final puzzle piece fits perfectly.       ,euphoria floods final puzzle piece fits perfectly,0.5,Tích cực
Awe-struck by the grandeur of an ancient cathedral's intricate architecture. ,awestruck grandeur ancient cathedrals intricate architecture,0.0,Trung lập
Curiosity awakened by the mysteries of an ancient archaeological site. ,curiosity awakened mysteries ancient archaeological site,0.0,Trung lập
Giddy with excitement as the first snowflakes dance from the sky. ,giddy excitement first snowflakes dance sky,0.25,Tích cực
Contentment envelops as the aroma of freshly baked bread fills the air. ,contentment envelops aroma freshly baked bread fills air,0.3,Tích cực
Inspired by the resilience of a lone tree standing tall in a storm. ,inspired resilience lone tree standing tall storm,0.0,Trung lập
"Lost in the pages of a captivating novel, transported to another world. ",lost pages captivating novel transported another world,0.5,Tích cực
Drenched in nostalgia while flipping through an old family photo album. ,drenched nostalgia flipping old family photo album,0.1,Tích cực
Spark of inspiration ignites like a shooting star in the night sky. ,spark inspiration ignites like shooting star night sky,0.0,Trung lập
Imbued with gratitude for the simple pleasure of a warm cup of tea. ,imbued gratitude simple pleasure warm cup tea,0.3,Tích cực
Marveling at the kaleidoscope of colors in a vibrant street market. ,marveling kaleidoscope colors vibrant street market,0.16666666666666666,Tích cực
Awash with serenity as the sun sets over a tranquil lakeside retreat. ,awash serenity sun sets tranquil lakeside retreat,0.0,Trung lập
Drowning in sorrow as memories of lost love resurface.            ,drowning sorrow memories lost love resurface,0.5,Tích cực
Numbness sets in as the weight of loneliness grows heavier.       ,numbness sets weight loneliness grows heavier,0.0,Trung lập
"Tears fall like raindrops, mourning the end of a cherished friendship. ",tears fall like raindrops mourning end cherished friendship,0.0,Trung lập
"Despair clouds the mind, feeling adrift in an endless sea of darkness. ",despair clouds mind feeling adrift endless sea darkness,-0.125,Tiêu cực
"Shattered by betrayal, trust crumbles like fragile glass.          ",shattered betrayal trust crumbles like fragile glass,0.0,Trung lập
"Aching heart, the symphony of pain plays in the silence of solitude. ",aching heart symphony pain plays silence solitude,0.0,Trung lập
"Emotional storm, a whirlwind of sadness engulfs every thought.    ",emotional storm whirlwind sadness engulfs every thought,0.0,Trung lập
"Haunted by regrets, the ghost of the past lingers relentlessly.   ",haunted regrets ghost past lingers relentlessly,-0.175,Tiêu cực
"Torn apart by grief, the echoes of loss reverberate through the soul. ",torn apart grief echoes loss reverberate soul,-0.8,Tiêu cực
"Isolation deepens, an emotional winter where warmth is but a distant memory. ",isolation deepens emotional winter warmth distant memory,-0.05,Trung lập
"Soul-crushing disappointment, hopes shattered like fragile glass. ",soulcrushing disappointment hopes shattered like fragile glass,-0.3,Tiêu cực
"Painful echoes of a love once cherished, now lost in the abyss of time. ",painful echoes love cherished lost abyss time,-0.09999999999999998,Trung lập
"Heartache deepens, a solitary journey through the abyss of despair. ",heartache deepens solitary journey abyss despair,0.0,Trung lập
"Melancholy lingers, a bittersweet serenade in the quietude of solitude. ",melancholy lingers bittersweet serenade quietude solitude,0.0,Trung lập
"Bitterness like a poison, seeping into every crevice of the wounded heart. ",bitterness like poison seeping every crevice wounded heart,0.0,Trung lập
"Emotional exhaustion, the weight of the world crushing weary shoulders. ",emotional exhaustion weight world crushing weary shoulders,0.2,Tích cực
"Sorrowful echoes, a symphony of pain played by the strings of loss. ",sorrowful echoes symphony pain played strings loss,0.0,Trung lập
"Darkness descends, engulfing the soul in the shadows of despair.  ",darkness descends engulfing soul shadows despair,0.0,Trung lập
"Desperation whispers, the silent plea for a glimmer of hope in the abyss. ",desperation whispers silent plea glimmer hope abyss,0.0,Trung lập
"Heart in ruins, the remnants of shattered dreams scattered in the wind. ",heart ruins remnants shattered dreams scattered wind,-0.15,Tiêu cực
"Shattered by the echoes of a shattered dream, fragments of hope scattered. ",shattered echoes shattered dream fragments hope scattered,0.0,Trung lập
"Avoiding the thorns of regret, walking barefoot on the path of remorse. ",avoiding thorns regret walking barefoot path remorse,0.0,Trung lập
"In the labyrinth of grief, the walls echo with the footsteps of lost joy. ",labyrinth grief walls echo footsteps lost joy,0.0,Trung lập
"A soul adrift in the sea of solitude, waves of loneliness crashing relentlessly. ",soul adrift sea solitude waves loneliness crashing relentlessly,0.0,Trung lập
"The bitterness of betrayal, a taste that lingers, staining the palate of trust. ",bitterness betrayal taste lingers staining palate trust,0.0,Trung lập
"In the ruins of hope, echoes of shattered dreams whisper tales of loss. ",ruins hope echoes shattered dreams whisper tales loss,-0.15,Tiêu cực
"Sinking like a stone in the ocean of heartbreak, each ripple a sigh of despair. ",sinking like stone ocean heartbreak ripple sigh despair,0.0,Trung lập
"Tears, the ink staining the pages of a journal, a testament to silent grief. ",tears ink staining pages journal testament silent grief,-0.4,Tiêu cực
"In the wasteland of lost trust, the echoes of broken promises reverberate. ",wasteland lost trust echoes broken promises reverberate,-0.4,Tiêu cực
"Avoiding the shards of shattered dreams, walking the tightrope of resilience. ",avoiding shards shattered dreams walking tightrope resilience,0.0,Trung lập
"Suffocating in the silence of solitude, where echoes of laughter once thrived. ",suffocating silence solitude echoes laughter thrived,-0.5,Tiêu cực
"Haunted by the specter of lost possibilities, a ghost that refuses to fade away. ",haunted specter lost possibilities ghost refuses fade away,0.0,Trung lập
"In the labyrinth of despair, the echoes of a broken heart reverberate endlessly. ",labyrinth despair echoes broken heart reverberate endlessly,-0.2625,Tiêu cực
"Sinking like autumn leaves in the river of sorrow, carried away by the current. ",sinking like autumn leaves river sorrow carried away current,0.0,Trung lập
"In the garden of broken dreams, petals fall, a silent testimony to shattered hopes. ",garden broken dreams petals fall silent testimony shattered hopes,-0.2,Tiêu cực
"Tears, the currency of grief, spent in the marketplace of lost love and longing. ",tears currency grief spent marketplace lost love longing,-0.13333333333333333,Tiêu cực
"Wandering in the maze of betrayal, the walls closing in with every wrong turn. ",wandering maze betrayal walls closing every wrong turn,-0.5,Tiêu cực
"A soul weathered by the storm of heartbreak, seeking refuge in the calm after. ",soul weathered storm heartbreak seeking refuge calm,0.30000000000000004,Tích cực
"In the tapestry of despair, threads of hope unravel, leaving a portrait of sorrow. ",tapestry despair threads hope unravel leaving portrait sorrow,0.0,Trung lập
"Like a withered rose in the garden of love, petals fall, a silent surrender to time. ",like withered rose garden love petals fall silent surrender time,0.3666666666666667,Tích cực
"In the void of heartache, echoes of a love song play, each note a pang of longing. ",void heartache echoes love song play note pang longing,0.5,Tích cực
"Nostalgia, a bittersweet dance in the moonlit ballroom of cherished memories. ",nostalgia bittersweet dance moonlit ballroom cherished memories,0.0,Trung lập
"In the symphony of grief, each tear is a note, composing a melancholic melody. ",symphony grief tear note composing melancholic melody,-0.8,Tiêu cực
"Betrayal, a venomous serpent slithering through the garden of trust, poisoning roots. ",betrayal venomous serpent slithering garden trust poisoning roots,0.0,Trung lập
"Sinking in the quicksand of despair, the harder you fight, the deeper you descend. ",sinking quicksand despair harder fight deeper descend,-0.1,Tiêu cực
"Wandering through the cemetery of lost dreams, tombstones marking untold sorrows. ",wandering cemetery lost dreams tombstones marking untold sorrows,0.0,Trung lập
"Swept away by the river of regret, the currents of the past refusing to release. ",swept away river regret currents past refusing release,-0.25,Tiêu cực
"Whispers of lost love linger in the attic of the heart, forgotten but not erased. ",whispers lost love linger attic heart forgotten erased,0.5,Tích cực
"In the gallery of broken promises, each shattered vow framed, a painful exhibition. ",gallery broken promises shattered vow framed painful exhibition,-0.55,Tiêu cực
"The echoes of solitude, a silent conversation between a soul and its shadows. ",echoes solitude silent conversation soul shadows,0.0,Trung lập
"Dancing on sunshine, each step a celebration of the joy found in simple moments. ",dancing sunshine step celebration joy found simple moments,0.4,Tích cực
"Laughter echoes in the air, a chorus of happiness that lifts the spirit higher. ",laughter echoes air chorus happiness lifts spirit higher,0.475,Tích cực
"In the garden of contentment, each bloom whispers tales of inner peace and joy. ",garden contentment bloom whispers tales inner peace joy,0.4,Tích cực
"Chasing dreams under the vibrant sky, a journey fueled by hope and enthusiasm. ",chasing dreams vibrant sky journey fueled hope enthusiasm,0.16666666666666666,Tích cực
"Serenading the stars with a heart full of gratitude, a melody of thankfulness. ",serenading stars heart full gratitude melody thankfulness,0.35,Tích cực
"Basking in the glow of accomplishment, each milestone a stepping stone to happiness. ",basking glow accomplishment milestone stepping stone happiness,0.7,Tích cực
"In the dance of positivity, every step is a rhythm, uplifting the soul in harmony. ",dance positivity every step rhythm uplifting soul harmony,0.0,Trung lập
"Overflowing with joy, a cup of laughter shared with friends, a moment cherished. ",overflowing joy cup laughter shared friends moment cherished,0.8,Tích cực
"Draped in the warmth of kindness, a quilt of compassion stitched with love. ",draped warmth kindness quilt compassion stitched love,0.5,Tích cực
"In the garden of friendships, each bloom a testament to the beauty of camaraderie. ",garden friendships bloom testament beauty camaraderie,0.0,Trung lập
"In the embrace of love, each heartbeat is a melody, dancing to the rhythm of affection. ",embrace love heartbeat melody dancing rhythm affection,0.5,Tích cực
"Surrounded by the colors of joy, a canvas painted with laughter and endless smiles. ",surrounded colors joy canvas painted laughter endless smiles,0.3375,Tích cực
"In the symphony of excitement, each note is a burst of energy, igniting the soul with fervor. ",symphony excitement note burst energy igniting soul fervor,0.0,Trung lập
"A surprise gift, wrapped in anticipation, unfolds a moment of delight and wonder. ",surprise gift wrapped anticipation unfolds moment delight wonder,0.0,Trung lập
"Lost in the maze of curiosity, each twist and turn unveils the treasures of discovery. ",lost maze curiosity twist turn unveils treasures discovery,0.0,Trung lập
"Floating on clouds of gratitude, each raindrop a blessing, a shower of thankfulness. ",floating clouds gratitude raindrop blessing shower thankfulness,0.0,Trung lập
"Like a comet of inspiration, streaking through the sky of creativity, leaving trails of brilliance. ",like comet inspiration streaking sky creativity leaving trails brilliance,0.0,Trung lập
"In the celebration of success, fireworks of accomplishment light up the night sky of triumph. ",celebration success fireworks accomplishment light night sky triumph,0.35,Tích cực
"A symphony of laughter, each note a key to unlocking the door of boundless happiness. ",symphony laughter note key unlocking door boundless happiness,0.16666666666666666,Tích cực
"In the carnival of emotions, the rollercoaster of thrill sends the heart on a wild ride. ",carnival emotions rollercoaster thrill sends heart wild ride,0.1,Tích cực
"Standing before the grandeur of the Eiffel Tower, a moment to reflect on the beauty of Parisian dreams. ",standing grandeur eiffel tower moment reflect beauty parisian dreams,0.0,Trung lập
"Lost in the enchantment of Disneyland, each ride a journey into the realm of childhood fantasies. ",lost enchantment disneyland ride journey realm childhood fantasies,0.0,Trung lập
"Exploring the wonders of Ferrari World, the roar of engines creating a symphony of speed. ",exploring wonders ferrari world roar engines creating symphony speed,0.0,Trung lập
"Amidst the tulip fields of Keukenhof, a tapestry of colors that paints the soul with springtime joy. ",amidst tulip fields keukenhof tapestry colors paints soul springtime joy,0.8,Tích cực
"Wandering through the historical streets of Kyoto, each step a journey into the heart of Japan's traditions. ",wandering historical streets kyoto step journey heart japans traditions,0.0,Trung lập
"In the embrace of the Grand Canyon, nature's masterpiece, a moment to marvel at Earth's grandeur. ",embrace grand canyon natures masterpiece moment marvel earths grandeur,0.5,Tích cực
"Journeying through the serenity of Santorini, where each sunset paints the sky with hues of tranquility. ",journeying serenity santorini sunset paints sky hues tranquility,0.0,Trung lập
"Amazed by the architectural marvels of Petra, each stone telling tales of an ancient civilization. ",amazed architectural marvels petra stone telling tales ancient civilization,0.0,Trung lập
"Embarking on a gondola ride in Venice, each canal reflecting the romance of this timeless city. ",embarking gondola ride venice canal reflecting romance timeless city,0.0,Trung lập
"At the summit of Machu Picchu, a breathtaking panorama that whispers the secrets of ancient civilizations. ",summit machu picchu breathtaking panorama whispers secrets ancient civilizations,1.0,Tích cực
"In the heart of New York City, Times Square dazzles with lights, a vibrant spectacle of urban energy. ",heart new york city times square dazzles lights vibrant spectacle urban energy,0.101010101010101,Tích cực
"Captivated by the historical charm of the Colosseum, each stone echoing tales of gladiator valor. ",captivated historical charm colosseum stone echoing tales gladiator valor,0.0,Trung lập
"Sailing the azure waters of the Maldives, each wave a whisper of serenity in paradise. ",sailing azure waters maldives wave whisper serenity paradise,0.0,Trung lập
"In the midst of the Amazon rainforest, a symphony of wildlife creates an orchestra of nature's wonders. ",midst amazon rainforest symphony wildlife creates orchestra natures wonders,0.0,Trung lập
